date,no2,month,dayofmonth,dayofweek
8/1/2013,30.20656538,1,8,1
8/1/2013,24.14385643,1,8,1
8/1/2013,20.20938786,1,8,1
8/1/2013,18.641855,1,8,1
8/1/2013,22.046105,1,8,1
8/1/2013,30.25475929,1,8,1
8/1/2013,53.04691071,1,8,1
8/1/2013,65.45223857,1,8,1
8/1/2013,72.53395429,1,8,1
8/1/2013,68.77097357,1,8,1
8/1/2013,56.09820214,1,8,1
8/1/2013,50.05688714,1,8,1
8/1/2013,46.46323143,1,8,1
8/1/2013,49.47266,1,8,1
8/1/2013,51.03693923,1,8,1
8/1/2013,54.75593286,1,8,1
8/1/2013,60.17667714,1,8,1
8/1/2013,60.49312643,1,8,1
8/1/2013,57.40471429,1,8,1
8/1/2013,50.47593143,1,8,1
8/1/2013,43.34565,1,8,1
8/1/2013,35.81159714,1,8,1
8/1/2013,34.89574786,1,8,1
8/1/2013,31.593135,1,8,1
9/1/2013,29.03827308,1,9,2
9/1/2013,26.29596571,1,9,2
9/1/2013,24.44772929,1,9,2
9/1/2013,25.62620286,1,9,2
9/1/2013,27.81410214,1,9,2
9/1/2013,35.60122214,1,9,2
9/1/2013,46.64669429,1,9,2
9/1/2013,51.48238214,1,9,2
9/1/2013,62.33510286,1,9,2
9/1/2013,60.77156643,1,9,2
9/1/2013,57.03167214,1,9,2
9/1/2013,57.75165857,1,9,2
9/1/2013,57.35867571,1,9,2
9/1/2013,60.77382071,1,9,2
9/1/2013,61.56491214,1,9,2
9/1/2013,73.04459,1,9,2
9/1/2013,90.00959143,1,9,2
9/1/2013,99.21606071,1,9,2
9/1/2013,97.50276786,1,9,2
9/1/2013,98.09917071,1,9,2
9/1/2013,98.04124,1,9,2
9/1/2013,96.32692286,1,9,2
9/1/2013,91.99514429,1,9,2
9/1/2013,89.27532929,1,9,2
10/1/2013,88.68404846,1,10,3
10/1/2013,78.75487357,1,10,3
10/1/2013,68.59929286,1,10,3
10/1/2013,65.61446071,1,10,3
10/1/2013,63.69615429,1,10,3
10/1/2013,60.86032786,1,10,3
10/1/2013,64.88388571,1,10,3
10/1/2013,68.84692714,1,10,3
10/1/2013,75.37121643,1,10,3
10/1/2013,78.71576714,1,10,3
